"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Chile","CHL","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0.774284373533552","0.638012088650101","0.581793292265572","0.494783263418307","0.584058634906093","0.786892314325752","0.818330605564648","0.878378378378378","0.844260822705227","0.89354097523615","0.918350308899649","1.15407295088872","1.64765525982256","1.48921982662814","1.38888888888889","1.89907759088443","1.73306900300569","1.93319538870825","1.80225703217113","5.2416721097322","5.17509142828516","7.794124223047","7.29075532225139","7.06571191201488","6.70424947372177","5.65515894966323","5.234705829354","3.26959362415162","2.63089346183902","2.34792155297171","4.87879429122287","4.46749559204048","3.87366802622307","3.97984689892204","3.423900617331","2.59942154736081","4.62322035926097","5.22745544687123","7.16873620763479","4.26746533408346","7.62558397881698","7.54541153531849","8.65393827413947","10.1305089008747","11.9264594691392","","","","","","","",
"China","CHN","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0109453569152121","0.0110680686220255","0.0173723694453175","0.0170563180538145","0.0544037403918147","0.306077701073703","0.151818114493076","0.258740298339273","0.245310492505353","0.244449874871666","0.234116031268578","0.225125915882316","0.209592277428357","0.190500613631784","0.178624752779893","0.297304582425836","0.387166018714885","0.476782487605849","0.859573400323317","1.29233409626383","1.67385240269475","2.13764019808449","2.65751498776664","3.5648783506209","4.05665980378573","4.85700420830511","","","","","","","",
"Cote d'Ivoire","CIV","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.94192377495463","1.93627882415068","1.98054818744474","2.04226602734861","2.03448275862069","1.22636688809402","1.15674769488684","1.04935235284473","0.940706955530217","0.888888888888889","0.844798455225682","1.2053725175066","","","","","","","",
"Cameroon","CMR","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.5930278104191","1.44955178333015","1.35539517690547","1.22773646896075","1.00016952025767","1.03023137983449","1.35449735449735","1.23411978221416","1.1703511053316","1.12459307487422","","","","","","","",
"Congo, Dem. Rep.","COD","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.223331581713085","0.217970452894163","0.101809954751131","0.111831804965332","","","","","","","",
"Congo, Rep.","COG","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","",
"Colombia","COL","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","1.46160389761039","1.47380709178462","1.25843874942649","1.1864309163163","1.13654301499605","1.11024161205126","1.02035905087356","1.04138490668109","1.02161100196464","1.00814422392662","0.995265963395087","0.90383961943595","0.850874686478077","0.830001211680601","0.783528738919073","0.75363753885084","0.727223573938902","1.03205439533754","1.00884359034207","1.07223067449105","1.11667759153479","1.14385867810525","1.08283824683331","1.18493440541684","1.06720844425762","1.15014492753623","1.14175222135261","1.09009369033347","1.0635783502718","1.04386652989803","1.09660885630848","1.10294801450758","1.05207880631609","1.05652686903357","1.04813732523754","4.13301023155627","3.34398819768871","3.22114921877506","3.03204814420225","3.13217612072285","3.27745338105105","","","","","","","",
"Comoros","COM","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0.871080139372822","0.552486187845304","0.519673348181143","0.476839237057221","0.522534291312867","0.485731633272617","0.568181818181818","0.415584415584416","0.450676014021032","0.449236298292902","0.422832980972516","0.405844155844156","0.348432055749129","0.32605151613955","0.355113636363636","0.339097999321804","0.319182891797","0.313185092389602","0","0","0.25879917184265","9.87377850162867","9.87377850162867","9.87377850162867","9.93648842450318","11.3286130778842","11.2635893780075","12.6547201182339","14.713499514406","16.9966758202052","17.5982209043736","19.0431893687708","17.093787736482","18.088861838101","17.227602905569","17.9717143842704","17.2265193370166","14.8933924424741","17.561761546724","17.5310445580716","18.653376729048","20.7489679575388","21.3776257938447","24.0481550357248","24.3895671476138","","","","","","","",
"Caribbean small states","CSS","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","16.2749003984064","12.2414120326438","12.5963559915907","12.2279448413358","11.4754098360656","10.7435719249479","10.85009733939","11.2682696841113","10.1893214209743","9.55050555611172","9.21985815602837","9.44725433526012","9.39231301939058","9.15303880888455","9.27125174194606","8.9936247723133","8.8648569116457","9.05652592490717","8.39950127961152","9.64456869009585","9.54178304521778","11.5877968452071","8.06217051445192","7.4968658587547","5.53816518179629","6.96585071018435","6.15014845185918","5.50607859768165","6.0792161192382","6.27993613624268","6.07882868161318","5.98127269252819","4.55407969639469","5.04669310477165","2.73758310520141","2.46523771935151","2.3604176123468","3.19022569149839","3.07319273711515","2.68437086854055","2.66891891891892","3.10939874104623","3.68861024033438","3.48032634514097","3.71155362776025","","","","","","","",
"Curacao","CUW","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
